Claim_ID,Section,Claim_Text,Type,Citations_or_Result_ID,Evidence_Location,Strength,Status
CL-014,V Methodology,Separating the schema verdict from the application's verdict is load-bearing: randomly generated promotional codes satisfy the schema pattern and are rejected by the service.,"result (pilot, calibration)",E0-STR-1,16_RESULTS/raw/E0_20260920T0810/validation_results.jsonl; 8/8 F28 group-B inputs,"OURS-EXPERIMENTAL (calibration only, not a finding)","OPEN — reported as a methodological observation, never as a study result"
CL-015,V Methodology,"Run-to-run variation occurs on this hardware even at low temperature, so repeated runs are required.",method justification,TESTBED_OBSERVATIONS.md O7,"two identical chat requests, one refusal and one compliance","OURS-EXPERIMENTAL (smoke test, n=2)","OPEN — stated as an observation motivating >=3 runs, not as a measured rate"
CL-016,VI/VII Framework,"Model scale does not reliably predict semantic quality, which limits inference from small open models to frontier models in both directions.",background,singh2026sob; wrenn2026enterprise,P35 §6.6 p.10; P37 Table III vs Table V,DIRECT,OPEN
CL-017,X Threats,"Human-to-human agreement on semantic judgements can be low, around 0.24 in a related study.",background,calo2026semanticgap,§3 p.3 (kappa approx 0.24),DIRECT,OPEN
CL-018,X Threats,LLM judges used as validators are themselves susceptible to injection.,background,shi2024judgeattack; pedro2025p2sql,P67 (optimisation-based attack on LLM-as-a-judge); P45 §5.1.4 p.9,DIRECT,OPEN
CL-019,VIII Results,"Among structurally valid LLM-generated inputs, 344/1228 (28.0%, CI 25.6-30.6) violated a business rule; H1 supported.",result,E1,E1 / analysis/e1_e2_summary.json H1; table1_by_condition.csv,OURS-EXPERIMENTAL,VERIFIED 2026-09-22 after DV-14; prose values generated from numbers.tex (supersedes figures in Claim_Text)
CL-020,VIII Results,"Field category is associated with SV-SI (chi2(6)=214.0, p<0.001, V=0.33); structured 56%, free text 52%, financial 13%.",result,E1,E1 / e1_e2_summary.json H2; table2_by_category.csv,OURS-EXPERIMENTAL,VERIFIED 2026-09-22 after DV-14; prose values generated from numbers.tex (supersedes figures in Claim_Text)
CL-021,VIII Results,"H3a-c not supported (pooled Holm p=1.0, 0.58, 1.0); within-target MH-OR E vs B 0.13 [0.09,0.19], D vs B 0.36 [0.26,0.50], E vs G 1.07 [0.64,1.81], E vs D 0.25 [0.17,0.37] (post hoc).",result,E2,E2 / table3_contrasts.csv; table3c_within_target_cmh.csv,OURS-EXPERIMENTAL,VERIFIED 2026-09-22 after DV-14; prose values generated from numbers.tex (supersedes figures in Claim_Text)
CL-022,VIII Results,Most frequent violated rule B-CO-2 (146); on AI-facing fields 20 of 134 SV-SI from injection prompts.,result,E1,E1 / table4_violations_by_rule.csv; e1_e2_summary.json ai_facing,OURS-EXPERIMENTAL,VERIFIED 2026-09-22
CL-023,VIII Results,"Judge-human kappa not reported: annotation not completed; sanity bounds A 3.8%, C 78.0%.",result,E1,E1 / annotation_sample.csv (unannotated),OURS-PENDING,OPEN — TODO-HUMAN annotation
CL-024,VIII Results,"No design reached recall 0.70 at FPR<=0.05 (best non-judge HYB 0.269 [0.213,0.323]); H5 not supported.",result,E3,E3 / table6_detection.csv; e3_summary.json (after DV-11),OURS-EXPERIMENTAL,VERIFIED 2026-09-22 after DV-14; prose values generated from numbers.tex (supersedes figures in Claim_Text)
CL-025,VIII Results,"H6 not supported: R adds <=14 ms at p97.5 but EMB adds 65-96 ms (c=1); SLM ~0.5 s, JUDGE 1.6-7.7 s median at c=1, JUDGE saturates at c=8; frontier R and HYB.",result,E4,table8_e4_overhead.csv; table8b_e4_pareto.csv; e4_summary.json,OURS-EXPERIMENTAL,VERIFIED 2026-09-22 (generated via numbers.tex)
CL-026,XI Limitations,The human-written conditions were AI-drafted at the researcher's request and await review; until then H3b is exploratory and alternative explanation 3 is not ruled out.,limitation,10_DATASETS/human_inputs/PROVENANCE.md; DECISIONS_LOG.md DV-03,provenance file review record (unsigned),DIRECT,OPEN — must remain in the paper until the review is recorded
CL-027,VIII Results,"Exploratory: qwen3:1.7b yields higher SV-SI than qwen3:4b (all rules 35.0% vs 18.7%, Holm p<0.001); 8b and T0 not detectably different.",result,E2b,table7_e2b_model_size.csv; table7c_e2b_tests.csv,OURS-EXPERIMENTAL,VERIFIED 2026-09-22 after DV-14; prose values generated from numbers.tex (supersedes figures in Claim_Text)
CL-028,VIII Results,Exploratory native operating point: SLM recall 68.9% / FPR 19.3%; JUDGE 51.3% / 6.4% with 25% no verdict.,result,E3,table6d_detection_native_and_auroc.csv,OURS-EXPERIMENTAL,VERIFIED 2026-09-22 after DV-14; prose values generated from numbers.tex (supersedes figures in Claim_Text)
CL-029,IX Discussion,The SV-SI gap is not specific to AI: random structurally valid inputs violate rules more often than LLM inputs.,result,E1/E2,table3_contrasts.csv; table3c_within_target_cmh.csv,OURS-EXPERIMENTAL,VERIFIED 2026-09-22 after DV-14; prose values generated from numbers.tex (supersedes figures in Claim_Text)
